Person,Samples,Comparisons,Avg_Score,Std_Score,Max_Score,Min_Score,Avg_Quality,Identification_Rate,Identified
a_60,8,28,0.8010511717324863,0.022943683891883223,0.8581679375691562,0.77879777037751,0.7055336447555278,1.0,True
a_61,8,28,0.7807305157433226,0.02001234810027561,0.8464767445126087,0.7550411837458594,0.70445864581923,0.9642857142857143,True
a_62,8,28,0.7829732322585047,0.014109444158330004,0.8480448892066571,0.767538366731189,0.7020247486171176,1.0,True
a_63,8,28,0.7750057558504634,0.005192228586587527,0.7857837362787635,0.7640951346643226,0.7021052106193706,1.0,True
a_64,8,28,0.7959903170931096,0.022384566478303492,0.8501375200688936,0.7537597307311846,0.7030907651162485,0.9642857142857143,True
a_65,8,28,0.7879882301245938,0.00485128377760515,0.7996588204854702,0.7775298613233204,0.7041625846638355,1.0,True
a_66,8,28,0.7811357250064156,0.005911435198393604,0.7911750172530803,0.7684927176296339,0.7017651460301988,1.0,True
a_67,8,28,0.7851867393555602,0.016839525873981836,0.8436476699056619,0.764093147437778,0.7027725657737165,1.0,True
a_68,8,28,0.7806204883214501,0.014051057671055292,0.8439412838269832,0.7680409915324911,0.7022540675250674,1.0,True
a_69,8,28,0.7895611108757162,0.02588662366774034,0.854399130991566,0.7681867650067311,0.7022028438681287,1.0,True
a_7,8,28,0.7778408712671754,0.016816011743262065,0.8492846865373385,0.7429323488712691,0.7050346373108322,0.9642857142857143,True
a_70,8,28,0.7947856588823928,0.020419413380523718,0.8459298600927754,0.7765416547104922,0.7043030230687908,1.0,True
a_71,8,28,0.7702128640614773,0.015111592741852396,0.794753051582943,0.7325371792532114,0.7037536293168342,0.7857142857142857,True
a_72,8,28,0.7811142587536758,0.005270148088404065,0.7901309966100847,0.767781638266242,0.7031388207328134,1.0,True
a_73,8,28,0.7894051052008934,0.027216005829996146,0.8509183382191756,0.7644069149686347,0.7021110793413939,1.0,True
a_74,8,28,0.7800594200809884,0.005137327992093316,0.7896945763662898,0.771141862394929,0.701774828842751,1.0,True
a_75,8,28,0.7818243387687517,0.013279979352850933,0.8457698424961122,0.7705477212839095,0.7020499252301564,1.0,True
a_76,8,28,0.792684595551007,0.028630580359442603,0.8565039908094031,0.7655162147371322,0.7034331267725394,1.0,True
a_77,8,28,0.7848152420866132,0.012293287905085493,0.8429788103562814,0.7681635071145219,0.7022397644298989,1.0,True
a_78,8,28,0.7824108583654042,0.013243903431913761,0.8402067001165294,0.7572383359665151,0.7051088050011155,1.0,True
a_79,8,28,0.7835196347536604,0.005923357858509752,0.7963908137428941,0.7740453413885111,0.7035029301902532,1.0,True
a_8,8,28,0.7974189406262431,0.024748408886789162,0.8658414198672348,0.7778459054047018,0.7026454041112984,1.0,True
a_80,8,28,0.7782391961664847,0.007588415197046977,0.7940324582400128,0.7607340796993817,0.7021122377504401,1.0,True
a_81,8,28,0.7869514983797924,0.012660806094249088,0.8454300243621286,0.7749015817673521,0.705857372987675,1.0,True
a_82,8,28,0.7845996227615171,0.01791293755288806,0.8489881151889174,0.769468145732652,0.7017371290123576,1.0,True
a_83,8,28,0.7740224656158842,0.013017367052047849,0.7956341872628727,0.7243755211818057,0.7014897949931697,0.9285714285714286,True
a_84,8,28,0.7764454565512837,0.008651078723129223,0.7884510058034536,0.7397939203535729,0.7045605176261368,0.9642857142857143,True
a_85,8,28,0.7841431603169874,0.006260771727794034,0.7991194624034743,0.768010205712167,0.704044614724005,1.0,True
a_86,8,28,0.7844973978256474,0.00706372499399951,0.7979665707699938,0.7738133263294306,0.7048648780949068,1.0,True
a_87,8,28,0.7876155036395457,0.012114620721038612,0.8468909663010159,0.7791520227258703,0.7047103700959129,1.0,True
a_88,8,28,0.7915451291072635,0.01611472252140782,0.849316275059377,0.7684172933647017,0.7056979772701034,1.0,True
a_89,8,28,0.7797808958191721,0.005953123311270479,0.7925374485415071,0.7648695055615116,0.7034304560865711,1.0,True
a_9,8,28,0.7731235064936406,0.010538641172799231,0.7950546855767366,0.7418236669147668,0.7032522797605182,0.9642857142857143,True
a_90,8,28,0.7863816585546839,0.0141694068844018,0.8547197308031675,0.7752361242915473,0.7031641425361409,1.0,True
a_91,8,28,0.7831789337414706,0.012672991604231805,0.8418876610450364,0.7706758533334007,0.7025462600629689,1.0,True
a_92,8,28,0.7782826587157314,0.01468394684583541,0.8438428397690757,0.7564706046092323,0.7013615635748165,0.9642857142857143,True
a_93,8,28,0.7745486639743963,0.008272438862720404,0.7877332462912305,0.7558292153143646,0.7032728988919511,0.9642857142857143,True
a_94,8,28,0.7895964708185961,0.01207381285059235,0.8465634191762321,0.776976346056692,0.7031410467621174,1.0,True
a_95,8,28,0.7861221462311386,0.012118807628128964,0.8427422037410137,0.7750841209055339,0.7048657696484607,1.0,True
a_96,8,28,0.7875860708886567,0.005010395236331213,0.7953817620160049,0.7739256718489199,0.7022158957605542,1.0,True
a_97,8,28,0.7882448054869025,0.0054814582888523655,0.7987866977490877,0.7790220965775172,0.7021473891180895,1.0,True
a_98,8,28,0.7739866348517701,0.007747287772919084,0.7993882612049746,0.7577535576677306,0.7012135985956905,1.0,True
a_99,8,28,0.7878645882450706,0.005022436740165396,0.7966345159786626,0.7761114134282014,0.7054663659805287,1.0,True
b_101,8,28,0.7745136652716936,0.018899984137256104,0.8576212073630838,0.7347428267547518,0.7046373786962585,0.9642857142857143,True
b_102,8,28,0.7859259804463262,0.012123318113803275,0.845259185382167,0.7748919346428526,0.7038427300781805,1.0,True
b_103,8,28,0.7803077520886124,0.014578322225497497,0.844165647397756,0.7657425757899455,0.7032366067664235,1.0,True
b_104,8,28,0.7925000886976459,0.019586398204279213,0.8536833439672888,0.7728727061731223,0.7024976492009104,1.0,True
b_105,8,28,0.7775875273825381,0.006719956721666126,0.7983474361217046,0.7658743537241294,0.704890729925804,1.0,True
b_106,8,28,0.7818593816970635,0.0047160414656829625,0.7936094477354385,0.7736330067150218,0.7020428788603524,1.0,True
b_107,8,28,0.7890591155060905,0.01589983090986103,0.8441228994927958,0.7717317256456804,0.7014348531174399,1.0,True
b_108,8,28,0.7852082423006648,0.005082394535371083,0.7989728987671502,0.7752207569247525,0.7040525081014007,1.0,True
b_109,8,28,0.790511060934105,0.012744827450848586,0.8540229596001614,0.7815441796279219,0.7062824644375879,1.0,True
b_110,8,28,0.7818817863197605,0.01969914974140795,0.8496448437289658,0.74923324912972,0.7008655817705477,0.9642857142857143,True
